epoch,train_loss,val_loss,precision,recall,iou,dice,lr
1,1.077801,1.050351,0.515594,0.831210,0.460859,0.613413,0.00033333
2,0.982351,0.949422,0.875055,0.379457,0.358739,0.503247,0.00066667
3,0.894020,0.816750,0.794965,0.675931,0.567820,0.711730,0.00100000
4,0.858968,0.788802,0.685867,0.835634,0.601699,0.740191,0.00099994
5,0.831408,0.760066,0.706434,0.832289,0.615533,0.751979,0.00099975
6,0.818048,0.736953,0.764121,0.778164,0.629408,0.762584,0.00099943
7,0.804377,0.752208,0.696246,0.847772,0.618805,0.755077,0.00099898
8,0.797443,0.726307,0.760526,0.788082,0.630873,0.762549,0.00099841
9,0.788019,0.872984,0.625531,0.894058,0.582043,0.725855,0.00099772
10,0.781313,0.717974,0.795860,0.754713,0.636687,0.766902,0.00099689
11,0.775425,0.709288,0.756954,0.808450,0.644026,0.773275,0.00099594
12,0.769410,0.721988,0.747532,0.810463,0.634488,0.763489,0.00099486
13,0.756401,0.711676,0.760465,0.803409,0.643388,0.772143,0.00099366
14,0.754982,0.700840,0.771031,0.792984,0.645221,0.773591,0.00099233
15,0.747492,0.716271,0.753133,0.811038,0.643227,0.772991,0.00099088
16,0.745213,0.703135,0.804479,0.757807,0.642715,0.768245,0.00098930
17,0.738172,0.708203,0.768818,0.795537,0.647783,0.774737,0.00098760
18,0.733583,0.701026,0.797564,0.773324,0.648559,0.776060,0.00098578
19,0.728057,0.697925,0.763318,0.806354,0.648479,0.775560,0.00098383
20,0.720132,0.719797,0.768360,0.795602,0.646269,0.773443,0.00098176
21,0.719875,0.687336,0.797920,0.771467,0.652187,0.778337,0.00097956
22,0.712400,0.703559,0.780726,0.791354,0.647623,0.775496,0.00097725
23,0.712999,0.719783,0.719611,0.843649,0.637456,0.769022,0.00097481
24,0.713124,0.717293,0.817923,0.734847,0.631260,0.762324,0.00097225
25,0.703977,0.705307,0.737674,0.835349,0.648604,0.777967,0.00096957
26,0.702539,0.696295,0.781078,0.797965,0.653081,0.779343,0.00096678
27,0.704176,0.725829,0.797443,0.761082,0.641515,0.770065,0.00096386
28,0.698359,0.707063,0.781552,0.790032,0.652297,0.777940,0.00096083
29,0.695615,0.697065,0.803475,0.770448,0.649925,0.777540,0.00095768
30,0.692564,0.690979,0.781209,0.795731,0.656617,0.782715,0.00095441
31,0.688150,0.695723,0.796677,0.783337,0.656857,0.781766,0.00095103
32,0.681578,0.708326,0.756555,0.823061,0.652928,0.779114,0.00094753
33,0.685194,0.700291,0.778734,0.795130,0.652001,0.776082,0.00094392
34,0.679360,0.685473,0.794855,0.778821,0.654550,0.780024,0.00094020
35,0.675204,0.699572,0.771876,0.801501,0.654684,0.780405,0.00093636
36,0.676034,0.701538,0.785457,0.784830,0.650599,0.775986,0.00093241
37,0.676029,0.704181,0.806233,0.761686,0.646401,0.772313,0.00092836
38,0.671712,0.705965,0.786343,0.800136,0.658046,0.782894,0.00092419
39,0.671539,0.699654,0.772445,0.813300,0.658474,0.784185,0.00091992
40,0.666295,0.694150,0.781037,0.811150,0.663398,0.787246,0.00091554
41,0.664752,0.701685,0.763947,0.816942,0.653971,0.779744,0.00091106
42,0.668830,0.694897,0.772570,0.815213,0.657897,0.783347,0.00090647
43,0.663514,0.686743,0.778480,0.808281,0.662243,0.787938,0.00090178
44,0.661700,0.709892,0.781845,0.796141,0.653729,0.780098,0.00089698
45,0.662877,0.706420,0.815431,0.757548,0.650772,0.777084,0.00089209
46,0.661088,0.694509,0.795739,0.779811,0.653129,0.778737,0.00088709
47,0.653894,0.709299,0.786737,0.792339,0.656272,0.781647,0.00088200
48,0.656602,0.688887,0.775825,0.798493,0.656771,0.781581,0.00087681
49,0.646862,0.702828,0.775645,0.805616,0.655645,0.781004,0.00087152
50,0.650945,0.697737,0.789650,0.789510,0.656271,0.781840,0.00086614
51,0.648708,0.694689,0.788965,0.787755,0.659271,0.783599,0.00086067
52,0.651425,0.690973,0.792053,0.794862,0.661642,0.786819,0.00085511
53,0.648559,0.702625,0.789643,0.787693,0.654637,0.778864,0.00084945
54,0.643385,0.716970,0.812977,0.754954,0.650297,0.774311,0.00084371
55,0.647260,0.690117,0.797284,0.791483,0.661806,0.786843,0.00083788
56,0.641941,0.693428,0.800523,0.785338,0.658917,0.783857,0.00083196
57,0.636977,0.703920,0.803836,0.776198,0.653368,0.777164,0.00082596
58,0.641555,0.706199,0.784017,0.793062,0.657457,0.782566,0.00081987
59,0.631954,0.704456,0.808341,0.771757,0.655335,0.778843,0.00081371
60,0.634653,0.715704,0.823738,0.747805,0.649495,0.775170,0.00080746
61,0.628363,0.703962,0.793651,0.785539,0.655364,0.780785,0.00080114
62,0.633795,0.712313,0.803647,0.771477,0.654627,0.778041,0.00079474
63,0.629918,0.715264,0.816267,0.758816,0.650302,0.775080,0.00078827
64,0.631193,0.702799,0.812200,0.764377,0.653750,0.779443,0.00078172
65,0.628435,0.721532,0.827745,0.739622,0.644375,0.772181,0.00077510
66,0.627404,0.708755,0.780766,0.799954,0.652243,0.777390,0.00076841
67,0.631548,0.712681,0.802793,0.775883,0.653321,0.778021,0.00076166
68,0.620732,0.716037,0.811034,0.764624,0.652367,0.777866,0.00075483
69,0.622459,0.723386,0.808917,0.770713,0.652816,0.777709,0.00074795
70,0.619439,0.700804,0.785419,0.800752,0.660500,0.785319,0.00074100
71,0.618878,0.719915,0.799114,0.777282,0.653878,0.778932,0.00073398
72,0.617136,0.713484,0.813349,0.765285,0.653880,0.779555,0.00072691
73,0.616904,0.722698,0.793722,0.773823,0.648412,0.775058,0.00071978
74,0.613219,0.743613,0.802730,0.762535,0.647208,0.773766,0.00071260
75,0.616192,0.708830,0.800966,0.780202,0.658192,0.782725,0.00070536
76,0.615881,0.726557,0.797519,0.780622,0.656071,0.781017,0.00069807
77,0.610570,0.718418,0.799100,0.774713,0.652922,0.778021,0.00069073
78,0.610648,0.729256,0.814240,0.754516,0.645292,0.771020,0.00068334
79,0.606411,0.728406,0.785914,0.793149,0.658212,0.781631,0.00067591
80,0.610058,0.715321,0.778207,0.804460,0.656754,0.781520,0.00066842
81,0.604358,0.735251,0.811984,0.755581,0.646025,0.770872,0.00066090
82,0.604571,0.727289,0.796926,0.772422,0.649353,0.774179,0.00065334
83,0.604931,0.717498,0.768032,0.807423,0.656215,0.782193,0.00064574
84,0.605803,0.741800,0.815248,0.755279,0.647693,0.774306,0.00063810
85,0.604050,0.735709,0.823411,0.744636,0.646306,0.771630,0.00063042
86,0.601526,0.722120,0.817696,0.754811,0.649390,0.775713,0.00062271
87,0.597487,0.735427,0.792105,0.779254,0.647785,0.772698,0.00061497
88,0.596269,0.718626,0.780179,0.795730,0.652732,0.778787,0.00060721
89,0.599145,0.732823,0.815420,0.754692,0.647564,0.774224,0.00059941
90,0.596182,0.728101,0.809081,0.765764,0.653506,0.778955,0.00059159
91,0.593631,0.740372,0.797762,0.774351,0.651357,0.777249,0.00058375
92,0.594078,0.743131,0.796122,0.774027,0.646848,0.774361,0.00057588
93,0.594998,0.747338,0.790193,0.780575,0.647163,0.772721,0.00056800
